Area name,Area budget,,,,,,,,,
Árbær,https://betrireykjavik.is/post/44698,6,"64.101786, -21.763843",,Gróðursetja fleiri tré í Norðlingaholti,"Verkefnið felur í sér að gróðursetja tré norðaustan megin í hverfinu, meðfram göngustíg milli Hólavaðs og Hólmvaðs. ",Plant more trees in Norðlingaholt,"The project entails planting trees on the northeast end of Norðlingaholt, along the path between Hólavað and Hólmvað.",Więcej roślinności w Norðlingaholt,"Projekt zakłada zasadzenie drzew w północno-wschodniej części dzielnicy, wzdłuż ścieżki między Hólavað i Hólmvað. "
Árbær,https://betrireykjavik.is/post/44763,8,"64.1156512,-21.7978461",,Leiksvæði á lóðinni við Ársel,Verkefnið felur í sér að útbúa náttúruleiksvæði við Ársel sem gestir frístundaheimilisins Töfrasels geta m.a. nýtt sér.,Play area on the lot by Ársel,The project entails making a nature play area by Ársel that guests of Töfrasel after school centre can also use.,Plac zabaw na działce przy Ársel,"Projekt zakłada stworzenie przy Ársel zielonego placu zabaw, z którego mogliby korzystać goście Töfrasel."
Árbær,https://betrireykjavik.is/post/44654,36,"64.112269, -21.794297",,Sauna í Árbæjarlaug,Verkefnið felur í sér að setja upp saunuhús í Árbæjarlaug. ,Sauna in Árbæjarlaug,The project entails setting up a sauna in Árbæjarlaug.,Sauna na basenie Árbæjarlaug,Projekt zakłada instalację sauny na basenie Árbæjarlaug. 
Árbær,https://betrireykjavik.is/post/44771,26,"64.115848, -21.792733",,Almenningsgarður milli Hraunbæjar og Rofabæjar,"Verkefnið felur í sér að búa til almenningsgarð með bekkjum, gróðri og leiktækjum íbúum til ánægju.",Public park between Hraunbær and Rofabær,"The project entails creating a public park with benches, greenery and playground equiment for residents' enjoyment.",Park publiczny pomiędzy Hraunbær i Rofabær,"Projekt zakłada stworzenie publicznego parku z ławkami, roślinnością i placami zabaw dla mieszkańców."
Árbær,https://betrireykjavik.is/post/44702,10,"64.119226, -21.814108",,Tröppur við undirgöng hjá Árbæjarsafni,"Verkefnið felur í sér að setja upp tröppur með vagnabraut, til að tengja undirgöng að strætóstoppistöð við Höfðabakka. ",Stairs by the underpass at Árbæjarsafn museum,The project entails setting up stairs with a stroller ramp to connect the underpass from the bus stop to Höfðabakki.,Schody przy tunelu przy muzeum Árbæjarsafn,"Projekt obejmuje utworzenie schodów, łączących tunel z przystankiem autobusowym przy Höfðabakki. "
Grafarvogur,https://betrireykjavik.is/post/28940,8,"64.156670, -21.791035",,Sjósundsaðstaða við Geldinganes,"Verkefnið felur í sér að setja upp aðstöðu fyrir sjósundsiðkendur við Geldinganes, þ.e. útibúningsaðstaða og köld sturta",Sea swimming facilities by Geldinganes,"The project entails building facilities for sea swimmers by Geldinganes, e.g. outdoor changing huts and a cold shower.",Morskie kąpielisko w Geldinganes,"Projekt zakłada stworzenie w Geldinganes obiektów dla osób korzystających z kąpieli morskich, tj. przebieralnie i zimny prysznic"
Grafarvogur,https://betrireykjavik.is/post/28605,13,"64.143656, -21.812651",,Fjallahjólasvæði í Gufunesi,"Verkefnið felur í sér að setja upp æfingaaðstöðu fyrir fjallahjólreiðafólk, sem hentar bæði byrjendum og lengra komnum. ",Mountain biking area in Gufunes,The project entails setting up practice facilities for mountain bikers suitable for beginners and more advanced riders.,Obszar dla rowerów górskich w Gufunes,Projekt zakłada stworzenie obszarów treningowych dla początkujących oraz zaawansowanych kolarzy górskich. 
Grafarvogur,https://betrireykjavik.is/post/28557,65,"64.165635, -21.801224",,Göngustígur á Geldingarnesi,"Verkefnið felur í sér að útbúa malargöngustíg á Geldinganesi, nýta núverandi stíg og búa til hringleið. ",Footpath on Geldinganes peninsula,"The project entails making a gravel walking path on Geldinganes, use the existing path and create a circular trail.",Ścieżka spacerowa w Geldingarnes,Projekt polega wyłożeniem żwirem istniejącej już ścieżki porowadzącej do okoła w Geldinganes. 
Grafarvogur,https://betrireykjavik.is/post/32810,8,"64.145786, -21.795303",,Trampólíngarður,Verkefnið felur í sér að setja upp trampólíngarð við Rimaskóla. ,Trampoline park,The project entails setting up a trampoline park by Rimaskóli.,Park trampolinowy,Projekt zakłada zbudowania parku z trampolinami przy szkole Rimaskóli. 
Grafarvogur,https://betrireykjavik.is/post/28713,7,"64.1380922,-21.7863168",,Nuddfoss í Grafarvogslaug,Verkefnið felur í sér að setja upp nuddfoss í Grafarvogslaug. ,Massage waterfall in Grafarvogslaug,The project entails setting up a massage waterfall in Grafarvogslaug.,Masaże wodne na Grafarvogslaug,Projekt zakłada instalację opadającego pod ciśnieniem strumienia na basenie Grafarvogslaug. 
Grafarvogur,https://betrireykjavik.is/post/45515,4,"64.142087, -21.825932",,Stigi ofan í fjöruna við Gufunes,Verkefnið felur í sér að setja upp stiga til að auðvelda aðgengi að fjörunni við Gufunes. ,Stairs down to the beach by Gufunes,The project entails setting up stairs to ease access to the beach by Gufunes.,Schody na plażę w Gufunes,"Projekt zakłada budowę schodów, aby ułatwić wejście na plażę w Gufunes. "
Grafarvogur,https://betrireykjavik.is/post/45491,16,,,Ærslabelgi á völdum stöðum í Grafarvogi,Verkefnið felur í sér að setja upp tvo ærslabelgi á völdum stöðum í Grafarvogi. ,Jumping pillows in select spots in Grafarvogur,The project entails setting up jumping pillows in select locations in Grafarvogur.,Dmuchane poduchy w Grafarvogur,Projekt zakłada instalację dmuchanych poduch w wybranych miejscach w Grafarvogur. 
Grafarvogur,https://betrireykjavik.is/post/45514,7,"64.133444, -21.788536",,Útisvæði og grill við skátaheimili,Verkefnið felur í sér að koma upp leiksvæði í anda skátastarfs og útieldunarsvæði við skátaheimili Vogabúa. ,Outdoor area and barbecues by the scout lodge,The project entails setting up a scout-style play area and outdoor cooking area by the Vogabúar scout lodge.,Miejsce w stylu skautowym,Projekt obejmuje utworzenie miejsca do rekreacji  z miejscem do palenia ognisk przy domu skautów Vogabúi.  
Grafarvogur,https://betrireykjavik.is/post/45501,9,"64.138315, -21.785874",,Hjólastæði við Grafarvogslaug,Verkefnið felur í sér að setja upp hjólastæði fyrir gesti laugarinnar og íþróttasvæðis Fjölnis.,Bike parking by Grafarvogslaug,The project entails setting up bike parking for guests of the pool and athletic club Fjölnir.,Miejsce dla rowerów przy basenie Grafarvogslaug,Projekt zakłada utworzenia miejsca dla rowerów gości basenu oraz kompleksu sportowego Fjölnir.
Grafarvogur,https://betrireykjavik.is/post/45521,6,"64.143404, -21.808859",,Aparóla í Gufunesi,"
Verkefnið felur í sér að setja upp aparólu í Gufunesi. ",Zip-line swing in Gufunes,The project entails setting up a zip-line swing in Gufunes.,Małpi gaj w Gufunes,"
Projekt zakłada utworzenie małpiego gaju w Gufunes. "
Grafarvogur,https://betrireykjavik.is/post/45449,109,"64.141574, -21.776943",,Göngustígur kringum kirkjugarðinn,"Verkefnið felur í sér að útbúa göngustíg sunnan og vestan megin við Gufuneskirkjugarð, til að loka gönguhringnum.",Footpath around the cemetery,The project entails making a footpath on the south and west sides of Gufunes cemetery.,Ścieżka wokół cmentarza,Projekt obejmuje utworzenie ścieżki na południe i zachód od Gufuneskirkjugarður.
Grafarvogur,https://betrireykjavik.is/post/45459,3,,,Jólaljós á völdum stöðum í hverfinu,Verkefnið felur í sér að setja upp jólaljós á nokkrum stöðum í hverfinu. ,Christmas lights at select locations in the neighbourhood,The project entails setting up Christmas lights in a few locations in the neighbourhood.,Świąteczne światełka w wybranych miejscach w dzielnicy,Projekt zakłada instalację świątecznych światełek w kilku miejscach w dzielnicy. 
Grafarvogur,https://betrireykjavik.is/post/45416,6,"64.143404, -21.808859",,Betri lýsing í Gufunesi,Verkefnið felur í sér að setja upp betri lýsingu í Gufunesi. Þetta á sérstaklega við í kringum kastalann og ærslabelginn.,Better lighting in Gufunes,"The project entails setting up better lighting in Gufunes, especially around the castle and jumping pillow.",Lepsze oświetlenie w Gufunes,Projekt zakłada instalację lepszego oświetlenia w Gufunes. Zwłaszcza wokół placu zabaw.
Grafarvogur,https://betrireykjavik.is/post/45471,11,"64.153085, -21.783973",,Þrekstígur,"Verkefnið felur í sér að útbúa þrekstíg milli Mosavegar og Strandvegar með hreystitækjum, mælistikum og upplýsingaskilti.",Fitness track,"The project entails creating a fitness track between Mosavegur and Strandvegur with equipment, markings and signs.",Ścieżka zdrowia,"Projekt zakłada ścieżkę zdrowia pomiędzy Mosavegur a Strandvegur : sprzęt fitness, miarki i tabliczki informacyjne."
Grafarvogur,https://betrireykjavik.is/post/45456,11,,,Útiæfingatæki fyrir eldri borgara,Verkefnið felur í sér að setja upp útiæfingatæki fyrir eldri borgara á völdum stað í hverfinu. ,Outdoor exercise equipment for elderly people,The project entails setting up outdoor exercise equipment for elderly people at a select location in the neighbourhood.,Siłownia pod chmurką dla seniorów,Projekt zakłada instalację sprzętu do ćwiczeń dla osób starszych w wybranym miejscu w dzielnicy. 
Grafarvogur,https://betrireykjavik.is/post/45500,10,"64.146489, -21.771323",,Læsanleg hlaupahjólastæði við Egilshöll,Verkefnið felur í sér að setja upp læsanleg hlaupahjólastæði við Egilshöll. ,Lockable electric scooter parking by Egilshöll,The project entails setting up lockable parking spots for electric scooters by Egilshöll.,Zamykany parking dla huljanóg przy Egilshöll,Projekt zakłada utworzenie zamykanego parkingu dla huljanóg przy Egilshöll. 
Grafarvogur,https://betrireykjavik.is/post/45524,9,"64.143404, -21.808859",,Hjólastæði við Gufunesbæ,Verkefnið felur í sér að setja upp vönduð hjólastæði við Gufunesbæ sem annar gestafjölda.,Bicycle parking by Gufunesbær,The project entails setting up well-made bike parking by Gufunesbær that accomodates the number of visitors. ,Miejsce dla rowerów przy Gufunesbæ,"Projekt zakłada utworzenia miejsca dla rowerów, który pomieści ilość gości."
Grafarvogur,https://betrireykjavik.is/post/45446,7,,,Fótboltapönnur við hvern skóla í Grafarvogi,Verkefnið felur í sér að setja upp fótboltapönnur við skóla í hverfinu. ,Mini football zone at every school in Grafarvogur,The project entails setting up mini football zones at schools in the neighbourhood.,Kręgi piłkarskie przy szkołach w Grafarvogur,Projekt polega na rozstawieniu kręgów do treningów piłkarskich przy szkołach w dzielnicy. 
Grafarvogur,https://betrireykjavik.is/post/45513,20,"64.152102, -21.779703","64.151844, -21.774635",Endurgera leiksvæði í Víkurhverfi,Verkefnið felur í sér að endurnýja leiksvæði annars vegar milli Ljósavíkur og Gautavíkur og hins vegar við Breiðuvík. ,Remake play area in Víkurhverfi ,The project entails refurbishing the play areas between Ljósavík and Gautavík as well as by Breiðavík.,Odnowienie placu zabaw w Víkurhverfi.,Projekt zakłada placu zabaw albo przy Ljósavíkur og Gautavíkur albo przy Breiðuvík.
Grafarvogur,https://betrireykjavik.is/post/45525,39,"64.142772, -21.807863",,Hjólabrettagarður í Gufunesi,Verkefnið felur í sér að endurnýja hjólabrettagarðinn í Gufunesi. ,Skateboard park in Gufunes,The project entails renovating the skateboard park in Gufunes.,Skatepark w Gufunes,Projekt zakłada odnowienie skateparku w Gufunes. 
Grafarvogur,https://betrireykjavik.is/post/45549,11,"64.143404, -21.808859",,Útiæfingatæki í Gufunesi,Verkefnið felur í sér að setja upp útiæfingatæki í Gufunesi. ,Outdoor exercise equipment in Gufunes,The project entails setting up outdoor exercise equipment in Gufunes.,Siłownia pod chmurką w Gufunes,Projekt zakłada instalację sprzętu do ćwiczeń w Gufunes.  
Grafarvogur,https://betrireykjavik.is/post/45505,16,,,Parkour völlur,Verkefnið felur í sér að setja upp parkour völl á völdum stað í hverfinu. ,Parkour park,The project entails setting up a parkour park in a select location in the neighbourhood.,Tor parkourowy,Projekt zakłada utworzenie toru parkourowego w wybranej lokalizacji w sąsiedztwie. 
Grafarvogur,https://betrireykjavik.is/post/45448,16,"64.126754, -21.792309",,Malbika stíg milli Grafarvogs og SÁÁ,Verkefnið felur í sér að malbika stíginn milli Grafarvogs og SÁÁ. ,Pave road between Grafarvogur and Vogur Hospital (SÁÁ),The project entails paving the road between Grafarvogur and Vogur Hospital (SÁÁ).,Ścieżka między Grafarvogur i SÁÁ,Projekt obejmuje utworzenie asfaltowej ścieżki między Grafarvogur i SÁÁ. 
Grafarvogur,https://betrireykjavik.is/post/49476,6,"64.156085, -21.778644",,Risaróla í norðanverðan Grafarvog,Verkefnið felur í sér að setja upp risarólu norðanmegin í Grafarvogi. ,High swing in north Grafarvogur,The project entails setting up a high swing in the north end of Grafarvogur.,Olbrzymia huśtawka w Płn. Grafarvogur,Projekt obejmuje ustawienie gigantycznej huśtawki po północnej stronie Grafarvogur. 
Grafarvogur,https://betrireykjavik.is/post/45486,4,,,Fjölnisbekki víðsvegar um Grafarvog,Verkefnið felur í sér að setja upp setbekki í Fjölnislitum á völdum stöðum í hverfinu.  ,Fjölnir benches all around Grafarvogur,The project entails setting up benches in atheltics club Fjölnir's colours at select locations in the neighbourhood.,Ławeczki Fjölnir w całym Grafarvogur,Projekt zakłada ustawienie ławeczek w kolorach klubu sportowego Fjölnir w wybranych miejscach w okolicy.  
Grafarvogur,https://betrireykjavik.is/post/45463,19,"64.152837, -21.777298","64.133806, -21.794935",Endurgera körfuboltavelli við Víkurskóla og Foldaskóla,Verkefnið felur í sér að endurnýja undirlag á körfuboltavöllum og setja nýjar körfur við Víkurskóla og Foldaskóla.,Redo basketball courts by Víkurskóli and Foldaskóli,The project entails resurfacing the basketball courts by Víkurskóli and Foldaskóli and putting up new baskets.,Przebudowa boiska do koszykówki w Víkurskóli i Foldaskóli,Projekt obejmuje odnowienie murawy na boiskach do koszykówki i zainstalowanie nowych koszy w Víkurskóli i Foldaskóli.
Grafarvogur,https://betrireykjavik.is/post/45531,11,"64.157223, -21.790301",,Bílastæði við Geldinganes,Verkefnið felur í sér að endurbæta bílastæði við aðstöðu Kayakklúbbsins og bæta veginn frá Strandvegi að svæðinu.,Parking by Geldinganes,The project entails improving parking by the Kayak club's facilities and improve the road to the area from Strandvegur.,Parking przy Geldinganes,Projekt obejmuje renowację parkingu przy Klubie Kajakowym oraz poprawę drogi prowadzącej ze Strandvegur do dzielnicy.
Grafarvogur,https://betrireykjavik.is/post/45485,59,"64.145407, -21.797065",,Battavöllur við Rimaskóla,Verkefnið felur í sér að setja upp battavöll við Rimaskóla.,Mini football pitch by Rimaskóli,The project entails setting up a mini football pitch by Rimaskóli.,Boisko do rozgrywek przy Rimaskóli,Projekt zakłada utworzenie boiska do gier przy szkole Rimaskóli.
Grafarvogur,https://betrireykjavik.is/post/45490,4,,,Fleiri bekki í hverfið,Verkefnið felur í sér að setja upp nýja bekki ásamt ruslastamp á nokkrum stöðum í hverfinu. ,More benches in the neighbourhood,The project entails setting up new benches along with trash bins in a few locations in the neighbourhood.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada montaż nowych ławek i śmietników w kilku miejscach w okolicy. 
Grafarvogur,https://betrireykjavik.is/post/45443,18,"64.143147, -21.808319",,100 metra tvöföld hlaupabraut,Verkefnið felur í sér að setja upp tvöfalda 100 metra hlaupabraut í Gufunesi.,100-metre double running track,The project entails setting up a 100-metre double running track in Gufunes.,100 metrowa podwójna bieżnia,Projekt zakłada budowę podwójnej 100-metrowej bieżni w Gufunes.
Grafarvogur,https://betrireykjavik.is/post/45421,16,,,Lýsa upp göngustíg meðfram Strandvegi,Verkefnið felur í sér að lýsa upp göngustíginn meðfram Strandvegi.,Light up footpath along Strandvegur,The project entails installing lighting on the footpath along Strandvegur.,Oświetlenie ścieżki wzdłuż Strandvegur,Projekt zakłada oświetlenie ścieżki wzdłuż Strandvegur.
Grafarvogur,https://betrireykjavik.is/post/45546,6,"64.152866, -21.778305",,Aparóla í norðanverðum Grafarvogi,Verkefnið felur í sér að setja upp aparólu nálægt Víkurskóla.,Zip-line swing in northern Grafarvogur,The project entails setting up a zip-line swing near Víkurskóli.,Małpi gaj w płn. części Grafarvogur.,Projekt zakłada utworzenie małpiego gaju przy Víkurskóli.
Kjalarnes,https://betrireykjavik.is/post/28608,8,,,Ærslabelgur,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í hverfinu. ,Jumping pillow,The project entails setting up a jumping pillow at a select location in the neighbourhood.,Poducha dmuchana,Projekt zakłada instalację poduchy dmuchanej w wybranym miejscu w dzielnicy.
Kjalarnes,https://betrireykjavik.is/post/31651,11,,,Útiæfingatæki,Verkefnið felur í sér að setja upp útiæfingartæki á góðum stað í hverfinu. ,Outdoor exercise equipment,The project entails setting up outdoor exercise equipment at a good location in the neighbourhood.,Siłownia pod chmurką,Projekt zakłada instalację sprzętu do ćwiczeń w jakimś dobrym miejscu na dworze w dzielnicy. 
Kjalarnes,https://betrireykjavik.is/post/29178,4,"64.238114, -21.832025","64.236127, -21.824986",Bekkir við sjó,Verkefnið felur í sér að setja upp bekki við sjó neðan við Fólkvang og við sjósundaðstöðuna. ,Benches by the sea,The project entails setting up benches by the sea below Fólkvangur and by the sea swimming facilities.,Ławki nad oceanem,Projekt zakłada ustawienie ławek nad oceanem przy Fólkvangur oraz przy kąpielisku morskim. 
Kjalarnes,https://betrireykjavik.is/post/38958,6,,,Gróðursetja tré í Grundarhverfi,Verkefnið felur í sér að gróðursetja skjólbelti til að skapa meiri veðursæld í hverfinu,Plant trees in Grundarhverfi,The project entails planting a shelterbelt to create more pleasant weather in the neighbourhood.,Zasadzenie drzew w Grundarhverfi,"Projekt zakłada posadzenie pasów zadrzewienia osłaniających od wiatru, aby stworzyć lepsze pogodowo obszary."
Kjalarnes,https://betrireykjavik.is/post/38410,13,"64.235607, -21.824296",,Fótalaug í fjörunni,Verkefnið felur í sér að setja upp fótalaug í fjörunni sunnan við Fólkvang. ,Footbath on the beach,The project entails setting up a footbath on the beach on the south side of Fólkvangur.,Brodzik do moczenia stóp,Projekt zakłada utworzenie baseniku do moczenia stóp na plaży na południe od Fólkvangur. 
Kjalarnes,https://betrireykjavik.is/post/44570,14,"64.237588, -21.826245",,Skólahreystibraut,Verkefnið felur í sér að setja upp skólahreystibraut við Klébergsskóla.,School fitness park,The project entails setting up a school fitness park by Klébergsskóli.,Tor przeszkód Skólahreystibraut,Projekt zakłada zbudowanie toru przeszkód Skólahreystir przy szkole Klébergslaug.
Kjalarnes,https://betrireykjavik.is/post/44582,7,"64.237486, -21.830360",,Sjósundsaðstaða,Verkefnið felur í sér að endurbæta núverandi sjósundsaðstöðu í hverfinu og bæta við útibúningsaðstöðu og kaldri sturtu,Sea swimming facilities,The project entails improving the existing sea swimming facilities and adding outdoor changing huts and a cold shower.,Kąpielisko morskie,Projekt zakłada renowację kąpieliska morskiego oraz dobudowanie szatni zewnętrznych i zimnego prysznica.
Kjalarnes,https://betrireykjavik.is/post/44542,27,"64.237486, -21.827770",,Heitur pottur í Klébergslaug,Verkefnið felur í sér að setja heitan pott (spírallaga) í Klébergslaug. ,Hot tub in Klébergslaug,The project entails putting a hot tub (spiral-shaped) in Klébergslaug.,Jacuzzi na basenie Klébergslaug,Projekt zakłada instalację jacuzzi (spiralnego) na basenie Klébergslaug. 
Kjalarnes,https://betrireykjavik.is/post/44561,3,,,Merkja þjóðleiðina í Esjuhlíðum,Verkefnið felur í sér að merkja gömlu þjóðleiðina í Esjuhlíðum með stikum. ,Mark the ancient road on the slopes of Esja,The project entails marking the ancient road on the slopes of Esja with stakes.,Oznaczenie szlaku krajowego na Esjuhlíðar,Projekt zakłada oznaczenie słupkami starego szlaku krajowego na Esjuhlíðar.
Kjalarnes,https://betrireykjavik.is/post/44558,27,"64.238406, -21.834848",,Göngustígur og bekkir við sjóinn,Verkefnið felur í sér að framlengja göngustíginn meðfram sjónum og setja upp nokkra bekki við hann,Walking path and benches by the sea,The project entails extending the walking path by the sea and setting up some benches along it.,Promenada i ławki nad oceanem,Projekt zakłada wydłużenie promenady wzdłuż oceanu i ustawienie na niej kilku ławek
Kjalarnes,https://betrireykjavik.is/post/44532,6,"64.257781, -21.829836",,Áningarstaður við Arnarhamar,"Verkefnið felur í sér að útbúa áningarstað við Arnarhamar, með bekkjum, borði og áningarhólfi fyrir hesta.",Rest area by Arnarhamar,"The project entails creating a rest area by Arnarhamar, with benches, tables and a horse paddock.",Miejsce odpoczynku w Arnarhamar,"Projekt zakłada przygotowanie miejsca do odpoczynku w Arnarhamar, z ławkami, stołem i miejscem odpoczynku dla koni."
Kjalarnes,https://betrireykjavik.is/post/44525,8,"64.238152, -21.830624",,Endurbæta útikennslusvæði,Verkefnið felur í sér að endurbæta núverandi útikennslusvæði. ,Renovate outdoor teaching area,The project entails improving the existing outdoor teaching area.,Poprawa obszaru do nauki,Projekt zakłada renowację istniejącego obszaru edukacyjnego na świeżym powietrzu. 
Kjalarnes,https://betrireykjavik.is/post/44537,13,"64.238994, -21.836731",,Rampur í fjöru við Grundarhverfi,Verkefnið felur í sér að setja upp ramp til að bæta aðgengi fyrir alla niður í fjöru. ,Ramp to the beach by Grundarhverfi,The project entails setting up a ramp to improve accessibility for all down to the beach.,Rampy na plażę przy Grundarhverfi,Projekt zakłada instalację ramp aby wszystkim ułatwić zejście na plażę. 
Kjalarnes,https://betrireykjavik.is/post/44538,4,,,Fræðsluskilti um hernámið á Kjalarnesi,Verkefnið felur í sér að setja upp fræðsluskilti um sögu hernáms og hernámsmannvirkja á Kjalarnesi.,Educational signs on the military occupation on Kjalarnes,The project entails setting up educational signs on the history of the military occupation and buildings on Kjalarnes.,Tabliczki edukacyjne o okupacji Kjalarnes,Projekt zakłada ustawienie tablic informacyjnych o historii i strukturach okupacyjnych Kjalarnes.
Kjalarnes,https://betrireykjavik.is/post/44551,4,"64.238247, -21.825738",,Vatnspóstur við battavöllinn,Verkefnið felur í sér að setja upp vatnspóst við battavöllinn. ,Drinking fountain by the mini football pitch,The project entails setting up a drinking fountain by the mini football pitch. ,Ujęcie wody do picia przy boisku ,Projekt zakłada założenie stanowiska wodnego przy boisku do rozgrywek. 
Kjalarnes,https://betrireykjavik.is/post/44559,7,"64.236542, -21.823087",,Frisbígolfvöll kringum íþróttasvæðið,Verkefnið felur í sér að útbúa frisbígolfvöll í Grundarhverfi. Settar verða upp frisbígolfkörfur og teigar útfærðir,Frisbee golf course around sports area,The project entails creating a frisbee golf course in Grundarhverfi with frisbee golf baskets and tees.,Pole do gry frisbee wokół terenu sportowego,Projekt zakłada przygotowanie pola do gry frisbee w Grundarhverfi. Instalacja koszy do gry frisbee i wytyczenie stref.
Kjalarnes,https://betrireykjavik.is/post/44578,13,"64.238363, -21.830491",,Brú yfir Klébergslæk,"Verkefnið felur í sér að setja upp göngu- og hjólabrú yfir Klébergslæk, brú sem heiðrar minningu Búa úr Kjalnesingasögu.",Bridge over Klébergslækur,"The project entails building a pedestrian and cycle bridge over Klébergslækur, a memorial for Búi from Kjalnesinga saga.",Pomost nad Klébergslækur,"Projekt obejmuje utworzenie kładki dla pieszych i rowerów nad Klébergslækur, ku czci pamięci Búi z Kjalnesingasaga."
Kjalarnes,https://betrireykjavik.is/post/44553,18,,,Hjólabrettasvæði,Verkefnið felur í sér að setja upp hjólabrettasvæði á góðum stað í hverfinu. ,Skateboard park,The project entails setting up a skateboard park in a good location in the neighbourhood.,Skatepark,Projekt zakłada utworzenie terenu do jazdy na deskorolce w dobrej lokalizacji w dzielnicy. 
Kjalarnes,https://betrireykjavik.is/post/44556,13,"64.237762, -21.830699",,Útilistaverk,Verkefnið felur í sér að setja upp útilistaverk við sjósundsaðstöðuna í hverfinu. ,Outdoor artwork,The project entails setting up an outdoor artwork by the neighbourhood sea swimming facilities.,Sztuka w plenerze,Projekt zakłada zainstalowanie prac artystycznych na kąpieliskach morskich w dzielnicy. 
Kjalarnes,https://betrireykjavik.is/post/44579,13,"64.235637, -21.824156",,Bæta aðgengi að fjöru við Fólkvang,Verkefnið felur í sér að bæta aðgengi í fjöruna við Fólkvang. ,Improve accessibility to the beach by Fólkvangur,The project entails improving accessibility to the beach by Fólkvangur.,Poprawa dostępu do plaży w Fólkvangur,Projekt zakłada poprawę dostępu do plaży w Fólkvangur. 
Kjalarnes,https://betrireykjavik.is/post/44562,7,"64.239771, -21.826926",,Göngustígur upp með Klébergslæk,"Verkefnið felur í sér að gera göngustíg meðfram Klébergslæk, frá sjó að Barnalundi.",Walking path along Klébergslækur,"The project entails making a walking path along Klébergslækur, from the sea to Barnalundur.",Ścieżka przy Klébergslækur,"Projekt obejmuje stworzenie ścieżki dla pieszych wzdłuż Klébergslækur, od oceanu do Barnalundur."
Kjalarnes,https://betrireykjavik.is/post/44571,5,"64.239398, -21.841368",,Brú yfir Jörfalæk,Verkefnið felur í sér að setja upp göngubrú yfir Jöfralæk. ,Bridge over Jörfalækur,The project entails setting up a pedestrian bridge over Jöfralækur.,Pomost na Jörfalækur,Projekt zakłada instalację pomostu nad Jöfralækur. 
Kjalarnes,https://betrireykjavik.is/post/44546,6,"64.204145, -21.695133",,Áningarstaður við Kollafjarðarrétt,Verkefnið felur í sér að útbúa áningarstað með borðum og bekkjum og áningarhólf fyrir hesta.,Rest area by Kollafjarðarrétt,The project entails making a rest area with tables and benches and a horse paddock.,Miejsce odpoczynku w Kollafjarðarréttur,Projekt zakłada wyposażenie części wypoczynkowej w stoły i ławki oraz strefę dla koni.
Kjalarnes,https://betrireykjavik.is/post/44531,4,,,Kortleggja gönguleiðir,Verkefnið felur í sér að kortleggja göngu- og reiðleiðir á Esjufjallgarðinum og á Kjalarnesi og gefa út á rafrænu formi.,Map hiking trails,The project entails mapping hiking and horse trails in Esja mountain park and on Kjalarnes and publishing digitally.,Mapa szlaków turystycznych,"Projekt obejmuje utworzenie map szlaków pieszych i konnych w Esjufjallgarður i Kjalarnes, elektroniczna ich publikacja."
Kjalarnes,https://betrireykjavik.is/post/44552,7,"64.223505, -21.811398",,Fuglaskoðunarhús við fjöruna,Verkefnið felur í sér að setja upp fuglaskoðunarhús við fjöruna.,Bird watching hut by the beach,"The project entails setting up a bird watching hut by the beach, possible location by Árósar, Sjávarhólar rest area.",Domek do obserwacji ptaków przy plaży,"Projekt zakłada zbudowanie domku do obserwacji ptaków nad brzegiem morza, albo przy Árós albo przy Sjávarhólar."
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/28554,8,"64.122633, -21.749662",,Ærslabelgur í Leirdal,Verkefnið felur í sér að setja upp ærslabelg í Leirdal. ,Jumping pillow Leirdalur,The project entails setting up a jumping pillow in Leirdalur.,Poducha dmuchana w Leirdal,Projekt zakłada instalację dmuchanej poduchy w Leirdalur. 
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/39392,5,"64.139975, -21.718864",,Fjallahjólastígur á Úlfarsfelli,Verkefnið felur í sér að gera fjallahjólastíg á Úlfarsfelli.,Mountain biking trail on Úlfarsfell,The project entails making a mountain biking trail on Úlfarsfell.,Trasa dla rowerów górskich na Úlfarsfell,Projekt zakłada utworzenie ścieżki dla rowerów górskich na Úlfarsfell.
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/29100,16,"64.130579, -21.745314",,Áningarstaður með grilli,"Verkefnið felur í sér að gera áningarstað með borðum, bekkjum og grillum á völdum stað miðsvæðis í hverfinu. ",Rest area with barbecue,"The project entails making a rest area with tables, benches and barbecues at a central location in the neighbourhood. ",Miejsce odpoczynku z grilem,"Projekt zakłada utworzenie strefy odpoczynku ze stołami, ławkami i grillami w wybranym centralnym miejscu w dzielnicy. "
Grafarholt og Úlfarsárdalur,https://betrireykjavik.is/post/29076,13,"64.130098, -21.725334",,Stígur frá Úlfarsárdal upp að Hafravatni,Verkefnið felur í sér að gera stíg frá Úlfarsársdal inn eftir ánni og tengja við núverandi göngustíga.,Trail from Úlfarsárdalur up to Hafravatn,The project entails making a trail from Úlfarsárdalur along the river and connect it to the existing trail.,Ścieżka z Úlfarsárdalur do Hafravatn,Projekt zakłada wykonanie ścieżek z Úlfarsársdalur do rzeki i połączenie ich z obecnymi ścieżkami dla pieszych.
